#Release 14.1 - par P.15xf (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Wed Oct  1 13:32:26 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       myNetworkAurora_map.ncd
#OUTPUT FILE:      myNetworkAurora_pad.csv
#PART TYPE:        xc5vlx110t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A26,,IOBS,IO_L10N_CC_23,UNUSED,,23,,,,,,,,,
A27,,,GND,,,,,,,,,,,,
A28,,IOBS,IO_L14N_VREF_23,UNUSED,,23,,,,,,,,,
A29,,IOBM,IO_L14P_23,UNUSED,,23,,,,,,,,,
A30,,IOBM,IO_L19P_23,UNUSED,,23,,,,,,,,,
A31,,IOBS,IO_L16N_23,UNUSED,,23,,,,,,,,,
A32,,,GND,,,,,,,,,,,,
A33,,IOBS,IO_L0N_11,UNUSED,,11,,,,,,,,,
AA1,,IPAD,MGTRXN1_114,UNUSED,,,,,,,,,,,
AA2,,,GND,,,,,,,,,,,,
AA3,,,MGTAVCC_114,,,,,,,,,,,,
AA4,,,MGTAVCC_114,,,,,,,,,,,,
AA5,,IOBM,IO_L2P_18,UNUSED,,18,,,,,,,,,
AA6,,IOBM,IO_L6P_18,UNUSED,,18,,,,,,,,,
AA7,,,GND,,,,,,,,,,,,
AA8,,IOBM,IO_L3P_22,UNUSED,,22,,,,,,,,,
AA9,,IOBS,IO_L3N_22,UNUSED,,22,,,,,,,,,
AA10,,IOBS,IO_L1N_22,UNUSED,,22,,,,,,,,,
AA11,,,GND,,,,,,,,,,,,
AA12,,,VCCINT,,,,,,,,1.0,,,,
AA13,,,GND,,,,,,,,,,,,
AA14,,,VCCINT,,,,,,,,1.0,,,,
AA15,,,GND,,,,,,,,,,,,
AA16,,,VCCINT,,,,,,,,1.0,,,,
AA17,,,GND,,,,,,,,,,,,
AA18,,,VCCINT,,,,,,,,1.0,,,,
AA19,,,GND,,,,,,,,,,,,
AA20,,,VCCINT,,,,,,,,1.0,,,,
AA21,,,GND,,,,,,,,,,,,
AA22,,,VCCO_0,,,0,,,,,any******,,,,
AA23,,,GND,,,,,,,,,,,,
AA24,recv_ports_2_getFlit<13>,IOB,IO_L2N_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AA25,recv_ports_3_getFlit<19>,IOB,IO_L0P_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AA26,,IOBS,IO_L0N_21,UNUSED,,21,,,,,,,,,
AA27,,,GND,,,,,,,,,,,,
AA28,send_ports_3_getNonFullVCs<1>,IOB,IO_L5N_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AA29,recv_ports_2_getFlit<8>,IOB,IO_L11P_CC_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AA30,recv_ports_2_getFlit<16>,IOB,IO_L11N_CC_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AA31,send_ports_1_putFlit_flit_in<12>,IOB,IO_L9N_CC_17,INPUT,LVCMOS25*,17,,,,NONE,,UNLOCATED,NO,NONE,
AA32,,,VCCO_13,,,13,,,,,2.50,,,,
AA33,recv_ports_0_getFlit<11>,IOB,IO_L2N_SM6N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AA34,recv_ports_0_getFlit<19>,IOB,IO_L3P_SM5P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AB1,,IPAD,MGTRXP1_114,UNUSED,,,,,,,,,,,
AB2,,OPAD,MGTTXN1_114,UNUSED,,,,,,,,,,,
AB3,,,MGTAVCCPLL_114,,,,,,,,,,,,
AB4,,,GND,,,,,,,,,,,,
AB5,,IOBS,IO_L2N_18,UNUSED,,18,,,,,,,,,
AB6,,IOBM,IO_L1P_18,UNUSED,,18,,,,,,,,,
AB7,,IOBS,IO_L1N_18,UNUSED,,18,,,,,,,,,
AB8,,IOBS,IO_L5N_22,UNUSED,,22,,,,,,,,,
AB9,,,VCCO_18,,,18,,,,,any******,,,,
AB10,,IOBM,IO_L1P_22,UNUSED,,22,,,,,,,,,
AB11,,,VCCAUX,,,,,,,,2.5,,,,
AB12,,,GND,,,,,,,,,,,,
AB13,,,VCCINT,,,,,,,,1.0,,,,
AB14,,,GND,,,,,,,,,,,,
AB15,,,TCK_0,,,,,,,,,,,,
AB16,,,GND,,,,,,,,,,,,
AB17,,,VCCINT,,,,,,,,1.0,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,,VCCINT,,,,,,,,1.0,,,,
AB20,,,GND,,,,,,,,,,,,
AB21,,,VCCINT,,,,,,,,1.0,,,,
AB22,,,GND,,,,,,,,,,,,
AB23,,,RSVD_0,,,,,,,,,,,,
AB24,,,GND,,,,,,,,,,,,
AB25,EN_recv_ports_3_putNonFullVCs,IOB,IO_L3P_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AB26,send_ports_3_getNonFullVCs<0>,IOB,IO_L3N_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AB27,send_ports_1_putFlit_flit_in<10>,IOB,IO_L1P_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AB28,recv_ports_3_putNonFullVCs_nonFullVCs<0>,IOB,IO_L5P_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AB29,,,VCCO_13,,,13,,,,,2.50,,,,
AB30,send_ports_1_putFlit_flit_in<14>,IOB,IO_L10P_CC_17,INPUT,LVCMOS25*,17,,,,NONE,,UNLOCATED,NO,NONE,
AB31,recv_ports_1_getFlit<11>,IOB,IO_L9P_CC_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AB32,send_ports_0_getNonFullVCs<0>,IOB,IO_L6N_SM3N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AB33,send_ports_2_putFlit_flit_in<17>,IOB,IO_L7N_SM2N_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AB34,,,GND,,,,,,,,,,,,
AC2,,OPAD,MGTTXP1_114,UNUSED,,,,,,,,,,,
AC3,,,MGTAVTTTX_114,,,,,,,,,,,,
AC4,,IOBM,IO_L0P_18,UNUSED,,18,,,,,,,,,
AC5,,IOBS,IO_L0N_18,UNUSED,,18,,,,,,,,,
AC6,,,VCCO_18,,,18,,,,,any******,,,,
AC7,,IOBM,IO_L3P_18,UNUSED,,18,,,,,,,,,
AC8,,IOBM,IO_L5P_22,UNUSED,,22,,,,,,,,,
AC9,,IOBS,IO_L7N_22,UNUSED,,22,,,,,,,,,
AC10,,IOBM,IO_L7P_22,UNUSED,,22,,,,,,,,,
AC11,,,GND,,,,,,,,,,,,
AC12,,,VCCAUX,,,,,,,,2.5,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,,,TMS_0,,,,,,,,,,,,
AC15,,,TDI_0,,,,,,,,,,,,
AC16,,,VCCINT,,,,,,,,1.0,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,,VCCINT,,,,,,,,1.0,,,,
AC19,,,GND,,,,,,,,,,,,
AC20,,,VCCINT,,,,,,,,1.0,,,,
AC21,,,GND,,,,,,,,,,,,
AC22,,,M1_0,,,,,,,,,,,,
AC23,,,RSVD_0,,,,,,,,,,,,
AC24,send_ports_3_putFlit_flit_in<16>,IOB,IO_L17N_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AC25,recv_ports_3_getFlit<10>,IOB,IO_L17P_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AC26,,,GND,,,,,,,,,,,,
AC27,recv_ports_1_getFlit<13>,IOB,IO_L1N_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AC28,send_ports_3_putFlit_flit_in<5>,IOB,IO_L4P_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AC29,recv_ports_2_getFlit<11>,IOB,IO_L13N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AC30,send_ports_1_putFlit_flit_in<9>,IOB,IO_L10N_CC_17,INPUT,LVCMOS25*,17,,,,NONE,,UNLOCATED,NO,NONE,
AC31,,,GND,,,,,,,,,,,,
AC32,recv_ports_0_putNonFullVCs_nonFullVCs<0>,IOB,IO_L6P_SM3P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AC33,EN_recv_ports_0_putNonFullVCs,IOB,IO_L7P_SM2P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AC34,recv_ports_0_getFlit<13>,IOB,IO_L5P_SM4P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AD2,,OPAD,MGTTXP0_118,UNUSED,,,,,,,,,,,
AD3,,,MGTAVTTTX_118,,,,,,,,,,,,
AD4,,IOBM,IO_L5P_18,UNUSED,,18,,,,,,,,,
AD5,,IOBS,IO_L5N_18,UNUSED,,18,,,,,,,,,
AD6,,IOBM,IO_L7P_18,UNUSED,,18,,,,,,,,,
AD7,,IOBS,IO_L3N_18,UNUSED,,18,,,,,,,,,
AD8,,,GND,,,,,,,,,,,,
AD9,,IOBS,IO_L9N_CC_22,UNUSED,,22,,,,,,,,,
AD10,,IOBM,IO_L10P_CC_22,UNUSED,,22,,,,,,,,,
AD11,,IOBS,IO_L10N_CC_22,UNUSED,,22,,,,,,,,,
AD12,,,GND,,,,,,,,,,,,
AD13,,,VCCINT,,,,,,,,1.0,,,,
AD14,,,TDO_0,,,,,,,,,,,,
AD15,,,D_OUT_BUSY_0,,,,,,,,,,,,
AD16,,,GND,,,,,,,,,,,,
AD17,,,VCCINT,,,,,,,,1.0,,,,
AD18,,,GND,,,,,,,,,,,,
AD19,recv_ports_1_getFlit<10>,IOB,IO_L9N_D0_FS0_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD20,send_ports_1_getNonFullVCs<0>,IOB,IO_L7N_D4_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD21,,,M0_0,,,,,,,,,,,,
AD22,,,M2_0,,,,,,,,,,,,
AD23,,,VCCO_0,,,0,,,,,any******,,,,
AD24,recv_ports_3_getFlit<16>,IOB,IO_L19P_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AD25,recv_ports_3_getFlit<1>,IOB,IO_L18N_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AD26,recv_ports_3_getFlit<7>,IOB,IO_L18P_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AD27,recv_ports_info_2_getRecvPortID<1>,IOB,IO_L4N_VREF_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AD28,,,GND,,,,,,,,,,,,
AD29,recv_ports_2_getFlit<2>,IOB,IO_L15N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AD30,recv_ports_2_getFlit<3>,IOB,IO_L13P_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AD31,recv_ports_1_getFlit<20>,IOB,IO_L12P_VRN_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AD32,recv_ports_2_getFlit<7>,IOB,IO_L11P_CC_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AD33,,,VCCO_17,,,17,,,,,2.50,,,,
AD34,recv_ports_0_getFlit<18>,IOB,IO_L5N_SM4N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AE1,,IPAD,MGTRXP0_118,UNUSED,,,,,,,,,,,
AE2,,OPAD,MGTTXN0_118,UNUSED,,,,,,,,,,,
AE3,,,MGTAVTTRX_118,,,,,,,,,,,,
AE4,,,GND,,,,,,,,,,,,
AE5,,,GND,,,,,,,,,,,,
AE6,,IOBS,IO_L7N_18,UNUSED,,18,,,,,,,,,
AE7,,IOBM,IO_L9P_CC_18,UNUSED,,18,,,,,,,,,
AE8,,IOBM,IO_L9P_CC_22,UNUSED,,22,,,,,,,,,
AE9,,IOBS,IO_L12N_VRP_22,UNUSED,,22,,,,,,,,,
AE10,,,GND,,,,,,,,,,,,
AE11,,IOBS,IO_L16N_22,UNUSED,,22,,,,,,,,,
AE12,EN_send_ports_1_putFlit,IOB,IO_L0N_CC_RS0_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AE13,send_ports_2_putFlit_flit_in<18>,IOB,IO_L0P_CC_RS1_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AE14,EN_send_ports_2_putFlit,IOB,IO_L4P_FCS_B_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AE15,,,GND,,,,,,,,,,,,
AE16,recv_ports_1_getFlit<1>,IOB,IO_L6N_D6_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE17,recv_ports_1_getFlit<16>,IOB,IO_L8N_D2_FS2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE18,,IOBS,IO_L8N_CC_GC_4,UNUSED,,4,,,,,,,,,
AE19,recv_ports_1_getFlit<4>,IOB,IO_L9P_D1_FS1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE20,,,GND,,,,,,,,,,,,
AE21,recv_ports_1_getFlit<0>,IOB,IO_L7P_D5_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE22,send_ports_1_putFlit_flit_in<20>,IOB,IO_L3P_A21_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AE23,,IOBS,IO_L3N_A20_2,UNUSED,,2,,,,,,,,,
AE24,recv_ports_3_getFlit<13>,IOB,IO_L19N_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AE25,,,GND,,,,,,,,,,,,
AE26,send_ports_3_putFlit_flit_in<15>,IOB,IO_L16N_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AE27,send_ports_3_putFlit_flit_in<13>,IOB,IO_L16P_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AE28,send_ports_3_putFlit_flit_in<6>,IOB,IO_L7P_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AE29,recv_ports_2_getFlit<10>,IOB,IO_L15P_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AE30,,,VCCO_17,,,17,,,,,2.50,,,,
AE31,send_ports_1_putFlit_flit_in<4>,IOB,IO_L12N_VRP_17,INPUT,LVCMOS25*,17,,,,NONE,,UNLOCATED,NO,NONE,
AE32,send_ports_2_putFlit_flit_in<6>,IOB,IO_L11N_CC_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AE33,send_ports_2_getNonFullVCs<0>,IOB,IO_L8N_CC_SM1N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AE34,send_ports_2_putFlit_flit_in<3>,IOB,IO_L9N_CC_SM0N_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AF1,,IPAD,MGTRXN0_118,UNUSED,,,,,,,,,,,
AF2,,,GND,,,,,,,,,,,,
AF3,,IPAD,MGTREFCLKN_118,UNUSED,,,,,,,,,,,
AF4,,IPAD,MGTREFCLKP_118,UNUSED,,,,,,,,,,,
AF5,,IOBS,IO_L10N_CC_18,UNUSED,,18,,,,,,,,,
AF6,,IOBS,IO_L9N_CC_18,UNUSED,,18,,,,,,,,,
AF7,,,VCCO_22,,,22,,,,,any******,,,,
AF8,,IOBM,IO_L12P_VRN_22,UNUSED,,22,,,,,,,,,
AF9,,IOBM,IO_L14P_22,UNUSED,,22,,,,,,,,,
AF10,,IOBS,IO_L14N_VREF_22,UNUSED,,22,,,,,,,,,
AF11,,IOBM,IO_L16P_22,UNUSED,,22,,,,,,,,,
AF12,,,GND,,,,,,,,,,,,
AF13,EN_recv_ports_1_putNonFullVCs,IOB,IO_L2P_A23_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AF14,send_ports_1_putFlit_flit_in<17>,IOB,IO_L4N_VREF_FOE_B_MOSI_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AF15,send_ports_1_putFlit_flit_in<18>,IOB,IO_L6P_D7_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AF16,send_ports_1_putFlit_flit_in<19>,IOB,IO_L8P_D3_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AF17,,,GND,,,,,,,,,,,,
AF18,,IOBM,IO_L8P_CC_GC_4,UNUSED,,4,,,,,,,,,
AF19,recv_ports_1_getFlit<8>,IOB,IO_L6N_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AF20,recv_ports_1_getFlit<15>,IOB,IO_L5P_FWE_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF21,,IOBS,IO_L5N_CSO_B_2,UNUSED,,2,,,,,,,,,
AF22,,,GND,,,,,,,,,,,,
AF23,,IOBM,IO_L1P_CC_A25_2,UNUSED,,2,,,,,,,,,
AF24,send_ports_3_putFlit_flit_in<1>,IOB,IO_L13P_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AF25,send_ports_3_putFlit_flit_in<14>,IOB,IO_L15P_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AF26,recv_ports_3_getFlit<4>,IOB,IO_L15N_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AF27,,,GND,,,,,,,,,,,,
AF28,recv_ports_3_getFlit<18>,IOB,IO_L7N_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AF29,recv_ports_2_getFlit<9>,IOB,IO_L17P_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AF30,recv_ports_info_0_getRecvPortID<0>,IOB,IO_L17N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AF31,recv_ports_2_getFlit<5>,IOB,IO_L14P_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AF32,,,GND,,,,,,,,,,,,
AF33,send_ports_2_putFlit_flit_in<2>,IOB,IO_L8P_CC_SM1P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AF34,send_ports_2_putFlit_flit_in<11>,IOB,IO_L9P_CC_SM0P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AG1,,IPAD,MGTRXN1_118,UNUSED,,,,,,,,,,,
AG2,,,GND,,,,,,,,,,,,
AG3,,,MGTAVCC_118,,,,,,,,,,,,
AG4,,,MGTAVCC_118,,,,,,,,,,,,
AG5,,IOBM,IO_L10P_CC_18,UNUSED,,18,,,,,,,,,
AG6,,IOBS,IO_L12N_VRP_18,UNUSED,,18,,,,,,,,,
AG7,,IOBS,IO_L14N_VREF_18,UNUSED,,18,,,,,,,,,
AG8,,IOBM,IO_L18P_22,UNUSED,,22,,,,,,,,,
AG9,,,GND,,,,,,,,,,,,
AG10,,IOBM,IO_L19P_22,UNUSED,,22,,,,,,,,,
AG11,,IOBS,IO_L19N_22,UNUSED,,22,,,,,,,,,
AG12,recv_ports_1_putNonFullVCs_nonFullVCs<0>,IOB,IO_L2N_A22_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AG13,recv_ports_1_getFlit<6>,IOB,IO_L1N_GC_D12_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG14,,,VCCO_4,,,4,,,,,2.50,,,,
AG15,recv_ports_1_getFlit<19>,IOB,IO_L5N_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG16,,IOBS,IO_L7N_GC_VRP_4,UNUSED,,4,,,,,,,,,
AG17,,IOBS,IO_L9N_CC_GC_4,UNUSED,,4,,,,,,,,,
AG18,,IOBM,IO_L6P_GC_4,UNUSED,,4,,,,,,,,,
AG19,,,GND,,,,,,,,,,,,
AG20,recv_ports_1_getFlit<7>,IOB,IO_L4N_GC_VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG21,recv_ports_1_getFlit<14>,IOB,IO_L4P_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AG22,INIT_CLK1,IOB,IO_L0P_GC_D15_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
AG23,send_ports_2_putFlit_flit_in<20>,IOB,IO_L1N_CC_A24_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AG24,,,GND,,,,,,,,,,,,
AG25,send_ports_3_putFlit_flit_in<0>,IOB,IO_L13N_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AG26,recv_ports_3_getFlit<0>,IOB,IO_L14N_VREF_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AG27,recv_ports_3_getFlit<2>,IOB,IO_L14P_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AG28,,IOBM,IO_L6P_21,UNUSED,,21,,,,,,,,,
AG29,,,GND,,,,,,,,,,,,
AG30,recv_ports_info_3_getRecvPortID<1>,IOB,IO_L19N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AG31,recv_ports_3_getFlit<20>,IOB,IO_L14N_VREF_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AG32,send_ports_2_putFlit_flit_in<10>,IOB,IO_L14P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AG33,send_ports_2_putFlit_flit_in<15>,IOB,IO_L12P_VRN_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AG34,,,GND,,,,,,,,,,,,
AH1,,IPAD,MGTRXP1_118,UNUSED,,,,,,,,,,,
AH2,,OPAD,MGTTXN1_118,UNUSED,,,,,,,,,,,
AH3,,,MGTAVCCPLL_118,,,,,,,,,,,,
AH4,,,GND,,,,,,,,,,,,
AH5,,IOBM,IO_L12P_VRN_18,UNUSED,,18,,,,,,,,,
AH6,,,GND,,,,,,,,,,,,
AH7,,IOBM,IO_L14P_18,UNUSED,,18,,,,,,,,,
AH8,,IOBS,IO_L18N_22,UNUSED,,22,,,,,,,,,
AH9,,IOBM,IO_L17P_22,UNUSED,,22,,,,,,,,,
AH10,,IOBS,IO_L17N_22,UNUSED,,22,,,,,,,,,
AH11,,,VCCO_22,,,22,,,,,any******,,,,
AH12,INIT_CLK2,IOB,IO_L1P_GC_D13_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
AH13,recv_ports_1_getFlit<5>,IOB,IO_L3N_GC_D8_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH14,recv_ports_1_getFlit<18>,IOB,IO_L3P_GC_D9_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH15,recv_ports_1_getFlit<9>,IOB,IO_L5P_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH16,,,GND,,,,,,,,,,,,
AH17,,IOBM,IO_L7P_GC_VRN_4,UNUSED,,4,,,,,,,,,
AH18,,IOBM,IO_L9P_CC_GC_4,UNUSED,,4,,,,,,,,,
AH19,recv_ports_1_getFlit<17>,IOB,IO_L2N_GC_D10_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH20,recv_ports_1_getFlit<2>,IOB,IO_L2P_GC_D11_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH21,,,VCCO_2,,,2,,,,,2.50,,,,
